Beer_Name,ABV,IBU,Style,Ounces,Name.y,City,State
First Stand,0.055,35,Saison / Farmhouse Ale,12,Texian Brewing Co.,Richmond, TX
Battle LIne,0.063,23,American Brown Ale,12,Texian Brewing Co.,Richmond, TX
Broken Bridge,0.056,12,Dunkelweizen,12,Texian Brewing Co.,Richmond, TX
Brutus,0.071,69,English India Pale Ale (IPA),12,Texian Brewing Co.,Richmond, TX
Lyric Ale,0.065,NA,Saison / Farmhouse Ale,12,Orpheus Brewing,Atlanta, GA
Atalanta,0.053,NA,Saison / Farmhouse Ale,12,Orpheus Brewing,Atlanta, GA
What the Butler Saw,0.05,18,Witbier,12,Forgotten Boardwalk,Cherry Hill, NJ
1916 Shore Shiver,0.069,65,American IPA,12,Forgotten Boardwalk,Cherry Hill, NJ
Laughing Dog Cream Ale,0.05,12,Cream Ale,12,Laughing Dog Brewing Company,Ponderay, ID
Two-One Niner,0.048,9,American Pilsner,12,Laughing Dog Brewing Company,Ponderay, ID
Laughing Dog IPA,0.064,66,American IPA,12,Laughing Dog Brewing Company,Ponderay, ID
Plum St. Porter,0.06,52,American Porter,12,Bozeman Brewing Company,Bozeman, MT
Plum St. Porter,0.057,52,American Porter,12,Bozeman Brewing Company,Bozeman, MT
Bozone HopZone IPA,0.07,80,American IPA,12,Bozeman Brewing Company,Bozeman, MT
Bozone Hefe Weizen,0.06,25,Hefeweizen,12,Bozeman Brewing Company,Bozeman, MT
Bozone Select Amber Ale,0.055,NA,American Amber / Red Ale,12,Bozeman Brewing Company,Bozeman, MT
Aprè Shred,0.081,17,American Strong Ale,16,Big Choice Brewing,Broomfield, CO
Hemlock Double IPA,0.095,104,American Double / Imperial IPA,12,Big Choice Brewing,Broomfield, CO
West Portal Colorado Common Summer Ale,0.041,NA,California Common / Steam Beer,16,Big Choice Brewing,Broomfield, CO
Disconnected Red,0.067,85,American Amber / Red Ale,16,Big Choice Brewing,Broomfield, CO
Arcus IPA,0.069,81,American IPA,12,Big Storm Brewing Company,Odessa, FL
Wavemaker,0.058,38,American Amber / Red Ale,12,Big Storm Brewing Company,Odessa, FL
Epitome,0.099,100,American Black Ale,16,Carton Brewing Company,Atlantic Highlands, NJ
Monkey Chased the Weasel,0.039,9,Berliner Weissbier,16,Carton Brewing Company,Atlantic Highlands, NJ
077XX,0.078,80,American Double / Imperial IPA,16,Carton Brewing Company,Atlantic Highlands, NJ
Boat Beer,0.042,35,American IPA,12,Carton Brewing Company,Atlantic Highlands, NJ
Pleasure Town,0.063,61,American IPA,12,Midnight Sun Brewing Company,Anchorage, AK
Pleasure Town IPA,0.063,61,American IPA,12,Midnight Sun Brewing Company,Anchorage, AK
Snowshoe White Ale,0.048,12,Witbier,12,Midnight Sun Brewing Company,Anchorage, AK
Kodiak Brown Ale,0.05,24,American Brown Ale,12,Midnight Sun Brewing Company,Anchorage, AK
Sockeye Red IPA,0.057,70,American IPA,12,Midnight Sun Brewing Company,Anchorage, AK
Trail Head,0.063,55,American Pale Ale (APA),12,Fat Head's Brewery,Middleburg Heights, OH
Hop Stalker Fresh Hop IPA,0.07,80,American IPA,16,Fat Head's Brewery,Middleburg Heights, OH
Blood Orange Wit,0.05,16,Witbier,16,Refuge Brewery,Temecula, CA
8 Barrel,0.08,69,American Strong Ale,16,Chatham Brewing,Chatham, NY
Oktoberfest,0.055,40,Märzen / Oktoberfest,16,Chatham Brewing,Chatham, NY
Stone of Arbroath,0.08,NA,Scotch Ale / Wee Heavy,12,DC Brau Brewing Company,Washington, DC
The Tradition,0.05,15,American Blonde Ale,12,DC Brau Brewing Company,Washington, DC
El Hefe Speaks,0.053,11,Hefeweizen,12,DC Brau Brewing Company,Washington, DC
Penn Quarter Porter,0.055,NA,American Porter,12,DC Brau Brewing Company,Washington, DC
On the Wings of Armageddon,0.092,115,American Double / Imperial IPA,12,DC Brau Brewing Company,Washington, DC
The Corruption,0.065,80,American IPA,12,DC Brau Brewing Company,Washington, DC
The Citizen,0.07,NA,Belgian Pale Ale,12,DC Brau Brewing Company,Washington, DC
The Public,0.06,NA,American Pale Ale (APA),12,DC Brau Brewing Company,Washington, DC
No Wake IPA,0.072,50,American IPA,12,Geneva Lake Brewing Company,Lake Geneva, WI
Boathouse Blonde,0.049,15,American Blonde Ale,12,Geneva Lake Brewing Company,Lake Geneva, WI
Cedar Point,0.05,26,American Amber / Red Ale,12,Geneva Lake Brewing Company,Lake Geneva, WI
Pine Knob Pilsner,0.053,NA,Czech Pilsener,16,Rochester Mills Brewing Company,Rochester, MI
Cal and Co. Black Cherry Porter,NA,NA,American Porter,16,Rochester Mills Brewing Company,Rochester, MI
Lazy Daze Lager,0.055,NA,American Adjunct Lager,16,Rochester Mills Brewing Company,Rochester, MI
Rochester Red Ale,0.059,NA,American Amber / Red Ale,16,Rochester Mills Brewing Company,Rochester, MI
Milkshake Stout,0.05,NA,Milk / Sweet Stout,16,Rochester Mills Brewing Company,Rochester, MI
Cornerstone IPA,0.07,NA,American IPA,16,Rochester Mills Brewing Company,Rochester, MI
Lazy Daze Lager,0.055,NA,American Adjunct Lager,12,Rochester Mills Brewing Company,Rochester, MI
Imperial Pumpkin Stout,0.099,43,Pumpkin Ale,16,Cape Ann Brewing Company,Gloucester, MA
Dead-Eye DIPA,0.09,130,American Double / Imperial IPA,16,Cape Ann Brewing Company,Gloucester, MA
Fisherman's IPA,0.055,64,American IPA,12,Cape Ann Brewing Company,Gloucester, MA
Fisherman's Pils,0.054,35,German Pilsener,12,Cape Ann Brewing Company,Gloucester, MA
Fisherman's Brew,0.055,30,American Amber / Red Ale,12,Cape Ann Brewing Company,Gloucester, MA
Noche Dulce,0.071,16,American Porter,16,Borderlands Brewing Company,Tucson, AZ
Big Blue Van,0.058,NA,Fruit / Vegetable Beer,16,College Street Brewhouse and Pub,Lake Havasu City, AZ
Weize Guy,0.05,15,Hefeweizen,12,Joseph James Brewing Company,Henderson, NV
Fox Tail Gluten Free Ale,0.05,50,American Pale Ale (APA),12,Joseph James Brewing Company,Henderson, NV
Hop Box Imperial IPA,0.093,90,American Double / Imperial IPA,12,Joseph James Brewing Company,Henderson, NV
Joseph James American Lager,0.052,15,American Adjunct Lager,12,Joseph James Brewing Company,Henderson, NV
UFO Gingerland,0.052,15,Herbed / Spiced Beer,12,Harpoon Brewery,Boston, MA
The Long Thaw White IPA,0.062,45,American White IPA,12,Harpoon Brewery,Boston, MA
Honey Cider,0.048,NA,Cider,12,Harpoon Brewery,Boston, MA
Harpoon Summer Beer,0.05,28,Kölsch,12,Harpoon Brewery,Boston, MA
Harpoon IPA,0.059,42,American IPA,12,Harpoon Brewery,Boston, MA
UFO Pumpkin,0.059,20,Pumpkin Ale,12,Harpoon Brewery,Boston, MA
Harpoon Octoberfest,0.055,30,Märzen / Oktoberfest,12,Harpoon Brewery,Boston, MA
Harpoon IPA (2012),0.059,42,American IPA,12,Harpoon Brewery,Boston, MA
Harpoon Summer Beer (2012),0.05,28,Kölsch,12,Harpoon Brewery,Boston, MA
UFO White,0.048,10,American Pale Wheat Ale,12,Harpoon Brewery,Boston, MA
Harpoon Summer Beer (2010),0.05,28,Kölsch,12,Harpoon Brewery,Boston, MA
Harpoon IPA (2010),0.059,42,American IPA,12,Harpoon Brewery,Boston, MA
Palate Mallet,0.086,NA,American Double / Imperial IPA,12,Back East Brewing Company,Bloomfield, CT
Back East Porter,0.06,NA,American Porter,12,Back East Brewing Company,Bloomfield, CT
Back East Golden Ale,0.049,NA,American Blonde Ale,12,Back East Brewing Company,Bloomfield, CT
Misty Mountain IPA,0.07,NA,American IPA,12,Back East Brewing Company,Bloomfield, CT
Back East Ale,0.05,NA,American Amber / Red Ale,12,Back East Brewing Company,Bloomfield, CT
Stickin' In My Rye,0.07,NA,Rye Beer,24,Champion Brewing Company,Charlottesville, VA
Black Me Stout,0.06,45,American Stout,12,Champion Brewing Company,Charlottesville, VA
Killer Kolsch,0.05,22,Kölsch,12,Champion Brewing Company,Charlottesville, VA
Missile IPA,0.07,65,American IPA,12,Champion Brewing Company,Charlottesville, VA
Bravo Four Point,0.044,45,American Pale Ale (APA),12,Devil's Backbone Brewing Company,Lexington, VA
Striped Bass Pale Ale,0.052,26,American Pale Ale (APA),12,Devil's Backbone Brewing Company,Lexington, VA
Cream Ale,0.042,35,Cream Ale,12,Newburgh Brewing Company,Newburgh, NY
Tarasque,0.059,NA,Saison / Farmhouse Ale,12,Wiseacre Brewing Company,Memphis, TN
Ananda India Pale Ale,0.062,61,American IPA,12,Wiseacre Brewing Company,Memphis, TN
Tiny Bomb,0.045,23,American Pilsner,12,Wiseacre Brewing Company,Memphis, TN
Might As Well IPL,0.072,75,American Pale Lager,16,Golden Road Brewing,Los Angeles, CA
Saison Pamplemousse,0.058,35,Saison / Farmhouse Ale,12,Golden Road Brewing,Los Angeles, CA
2020 IPA,0.074,74,American IPA,16,Golden Road Brewing,Los Angeles, CA
Wolf Among Weeds IPA,0.08,70,American IPA,16,Golden Road Brewing,Los Angeles, CA
Better Weather IPA,0.094,92,American IPA,16,Golden Road Brewing,Los Angeles, CA
Point the Way IPA,0.059,60,American IPA,16,Golden Road Brewing,Los Angeles, CA
Golden Road Hefeweizen,0.046,15,Hefeweizen,16,Golden Road Brewing,Los Angeles, CA
Heal the Bay IPA,0.068,65,American IPA,16,Golden Road Brewing,Los Angeles, CA
Point the Way IPA,0.059,60,American IPA,12,Golden Road Brewing,Los Angeles, CA
Cabrillo Kölsch,0.05,NA,Kölsch,16,Golden Road Brewing,Los Angeles, CA
Get Up Offa That Brown,0.055,20,American Brown Ale,16,Golden Road Brewing,Los Angeles, CA
Burning Bush Smoked IPA,0.08,70,American IPA,16,Golden Road Brewing,Los Angeles, CA
Wolf Among Weeds IPA (2012),0.08,70,American IPA,16,Golden Road Brewing,Los Angeles, CA
Point the Way IPA (2012),0.059,60,American IPA,16,Golden Road Brewing,Los Angeles, CA
Golden Road Hefeweizen (2012),0.046,15,Hefeweizen,16,Golden Road Brewing,Los Angeles, CA
Skylight,0.056,20,Dunkelweizen,12,New Republic Brewing Company,College Station, TX
Kadigan,0.056,30,American Blonde Ale,12,New Republic Brewing Company,College Station, TX
Dammit Jim!,0.052,50,American Amber / Red Ale,12,New Republic Brewing Company,College Station, TX
Infamous IPA,0.07,75,American IPA,12,Infamous Brewing Company,Austin, TX
Hijack,0.055,20,Cream Ale,12,Infamous Brewing Company,Austin, TX
The Gilded Age,0.045,NA,Munich Helles Lager,12,Two Henrys Brewing Company,Plant City, FL
Getaway,0.052,30,German Pilsener,16,Lift Bridge Brewing Company,Stillwater, MN
Farm Girl Saison,0.06,30,Saison / Farmhouse Ale,16,Lift Bridge Brewing Company,Stillwater, MN
Pub Ale,0.038,18,English Dark Mild Ale,12,Lucky Town Brewing Company,Jackson, MS
Ballistic Blonde,0.051,31,Belgian Pale Ale,12,Lucky Town Brewing Company,Jackson, MS
Golden Fleece,0.045,35,Belgian Pale Ale,12,Quest Brewing Company,Greenville, SC
Smoking Mirror,0.055,30,American Porter,12,Quest Brewing Company,Greenville, SC
Tropicalia,0.065,65,American IPA,12,Creature Comforts,Athens, GA
Athena,0.045,NA,Berliner Weissbier,12,Creature Comforts,Athens, GA
Pursuit,0.07,40,American IPA,12,Half Full Brewery,Stamford, CT
Half Full Bright Ale,0.052,18,American Blonde Ale,12,Half Full Brewery,Stamford, CT
Montauk Light,0.035,NA,Light Lager,12,Southampton Publick House,Southampton, NY
Enlighten,0.045,NA,Kölsch,16,Chapman's Brewing,Angola, IN
Ale Cider,0.065,8,Fruit / Vegetable Beer,16,Chapman's Brewing,Angola, IN
Pail Ale,0.055,30,American Pale Ale (APA),16,Chapman's Brewing,Angola, IN
Englishman,0.045,NA,English Brown Ale,16,Chapman's Brewing,Angola, IN
Barrio Blanco,0.06,60,American IPA,12,Barrio Brewing Company,Tucson, AZ
Barrio Tucson Blonde,0.045,NA,American Blonde Ale,12,Barrio Brewing Company,Tucson, AZ
Giant DIPA,0.089,88,American Double / Imperial IPA,16,Santa Cruz Mountain Brewing,Santa Cruz, CA
Dread Brown Ale,0.054,NA,American Brown Ale,12,Santa Cruz Mountain Brewing,Santa Cruz, CA
Casinos IPA,0.07,NA,English India Pale Ale (IPA),16,Santa Cruz Mountain Brewing,Santa Cruz, CA
Old Detroit,0.056,NA,American Amber / Red Ale,12,Frankenmuth Brewery,Frankenmuth, MI
Batch 69 IPA,0.069,69,American IPA,12,Frankenmuth Brewery,Frankenmuth, MI
Twisted Helles Summer Lager,0.055,18,Munich Helles Lager,12,Frankenmuth Brewery,Frankenmuth, MI
Bushwhacker Cider,0.069,NA,Cider,16,Meckley's Cidery,Somerset Center, MI
Weim-R-Iner,0.069,NA,Cider,16,Meckley's Cidery,Somerset Center, MI
Cherry Bomb,0.069,NA,Cider,16,Meckley's Cidery,Somerset Center, MI
Brontide,0.05,NA,American Black Ale,12,Stillwater Artisanal Ales,Baltimore, MD
Brontide,0.05,NA,American Black Ale,12,Stillwater Artisanal Ales,Baltimore, MD
Classique,0.045,NA,Saison / Farmhouse Ale,12,Stillwater Artisanal Ales,Baltimore, MD
Hardcore Chimera,0.09,NA,American Double / Imperial IPA,16,Finch's Beer Company,Chicago, IL
Sobek & Set,0.08,80,American Black Ale,16,Finch's Beer Company,Chicago, IL
Nuclear Winter,0.086,NA,Belgian Strong Dark Ale,16,Finch's Beer Company,Chicago, IL
Wet Hot American Wheat Ale,0.05,22,American Pale Wheat Ale,16,Finch's Beer Company,Chicago, IL
Secret Stache Stout,0.053,NA,American Stout,16,Finch's Beer Company,Chicago, IL
Fascist Pig Ale,0.08,72,American Amber / Red Ale,16,Finch's Beer Company,Chicago, IL
Cut Throat Pale Ale,0.055,NA,American Pale Ale (APA),16,Finch's Beer Company,Chicago, IL
Threadless IPA,0.075,NA,American IPA,16,Finch's Beer Company,Chicago, IL
Cut Throat Pale Ale (2011),0.055,NA,American Pale Ale (APA),16,Finch's Beer Company,Chicago, IL
Golden Wing Blonde Ale,0.047,NA,American Blonde Ale,16,Finch's Beer Company,Chicago, IL
LuckenBock,0.07,18,Bock,16,South Austin Brewery,South Austin, TX
Texas Pale Ale (TPA),0.055,40,American IPA,16,South Austin Brewery,South Austin, TX
6 String Saison,0.08,NA,Saison / Farmhouse Ale,16,South Austin Brewery,South Austin, TX
Kol' Beer,0.05,22,Kölsch,16,South Austin Brewery,South Austin, TX
Wagon Party,0.054,55,California Common / Steam Beer,12,Bauhaus Brew Labs,Minneapolis, MN
Sky-Five,0.067,70,American IPA,12,Bauhaus Brew Labs,Minneapolis, MN
Stargrazer,0.05,28,Schwarzbier,12,Bauhaus Brew Labs,Minneapolis, MN
Wonderstuff,0.054,48,German Pilsener,12,Bauhaus Brew Labs,Minneapolis, MN
Ozark American Pale Ale,0.04,39,American Pale Ale (APA),12,Ozark Beer Company,Rogers, AR
Train Wreck,0.082,NA,American Amber / Red Ale,16,Mountain Town Brewing Company ,Mount Pleasant, MI
Overgrown American Pale Ale,0.055,55,American Pale Ale (APA),12,Otter Creek Brewing,Waterbury, VT
Birdhouse Pale Ale,0.05,NA,Belgian Pale Ale,12,The Brewer's Art,Baltimore, MD
Ozzy,0.073,NA,Belgian Pale Ale,12,The Brewer's Art,Baltimore, MD
Resurrection,0.07,NA,Dubbel,12,The Brewer's Art,Baltimore, MD
Incredible Pedal IPA,0.07,NA,American IPA,12,Denver Beer Company,Denver, CO
Graham Cracker Porter,0.05,NA,American Porter,12,Denver Beer Company,Denver, CO
Rudie Session IPA,0.045,NA,American IPA,12,Ska Brewing Company,Durango, CO
Taster's Choice,0.074,NA,Doppelbock,12,Ska Brewing Company,Durango, CO
Modus Hoperandi,0.068,65,American IPA,12,Ska Brewing Company,Durango, CO
Estival Cream Stout,0.058,15,American Stout,12,Ska Brewing Company,Durango, CO
Vernal Minthe Stout,0.058,NA,American Stout,12,Ska Brewing Company,Durango, CO
Hibernal Vinifera Stout,0.08,NA,Foreign / Export Stout,12,Ska Brewing Company,Durango, CO
Autumnal Molé Stout,NA,NA,American Stout,12,Ska Brewing Company,Durango, CO
Mexican Logger,0.042,18,American Pale Lager,12,Ska Brewing Company,Durango, CO
True Blonde Ale,0.053,NA,American Blonde Ale,12,Ska Brewing Company,Durango, CO
Euphoria Pale Ale,0.061,NA,American Pale Ale (APA),12,Ska Brewing Company,Durango, CO
ESB Special Ale,0.057,58,Extra Special / Strong Bitter (ESB),12,Ska Brewing Company,Durango, CO
Modus Hoperandi,0.068,65,American IPA,12,Ska Brewing Company,Durango, CO
Almanac IPA,0.062,72,American IPA,12,Tractor Brewing Company,Albuquerque, NM
Milk Mustachio Stout,0.065,NA,Milk / Sweet Stout,12,Tractor Brewing Company,Albuquerque, NM
Farmer's Tan Red Ale,0.06,30,American Amber / Red Ale,12,Tractor Brewing Company,Albuquerque, NM
Fresh Cut Pilsner,0.046,NA,American Pilsner,12,Peak Organic Brewing Company,Portland, ME
Summer Session Ale,0.05,61,American Pale Wheat Ale,12,Peak Organic Brewing Company,Portland, ME
Cape Cod Red,0.055,35,American Amber / Red Ale,16,Cape Cod Beer,Hyannis, MA
Beach Blonde,0.049,10,American Blonde Ale,16,Cape Cod Beer,Hyannis, MA
Long Trail IPA,0.059,42,English India Pale Ale (IPA),12,Long Trail Brewing Company,Bridgewater Corners, VT
Long Trail Ale,0.046,30,American Amber / Red Ale,12,Long Trail Brewing Company,Bridgewater Corners, VT
Double Bag,0.072,33,Altbier,16,Long Trail Brewing Company,Bridgewater Corners, VT
Blackbeary Wheat,0.04,8,Fruit / Vegetable Beer,12,Long Trail Brewing Company,Bridgewater Corners, VT
Long Trail Ale (1),0.046,30,Altbier,12,Long Trail Brewing Company,Bridgewater Corners, VT
Commotion APA,0.052,49,American Pale Ale (APA),12,Great Raft Brewing Company,Shreveport, LA
Southern Drawl Pale Lager,0.052,NA,American Pale Lager,12,Great Raft Brewing Company,Shreveport, LA
Freeride APA,0.053,40,American Pale Ale (APA),12,Alaskan Brewing Company,Juneau, AK
Alaskan Amber,0.053,18,Altbier,12,Alaskan Brewing Company,Juneau, AK
Left of the Dial IPA,0.043,NA,American IPA,12,Notch Brewing Company,Ipswich, MA
Notch Session Pils,0.04,NA,Czech Pilsener,12,Notch Brewing Company,Ipswich, MA
Petit Mutant,0.06,NA,American Wild Ale,16,The Alchemist,Waterbury, VT
The Crusher,0.096,NA,American Double / Imperial IPA,16,The Alchemist,Waterbury, VT
Beelzebub,0.08,NA,American Double / Imperial Stout,16,The Alchemist,Waterbury, VT
Focal Banger,0.07,NA,American IPA,16,The Alchemist,Waterbury, VT
Heady Topper,0.08,120,American Double / Imperial IPA,16,The Alchemist,Waterbury, VT
Heady Topper,0.08,120,American Double / Imperial IPA,16,The Alchemist,Waterbury, VT
Hydraulion Red,0.053,22,Irish Red Ale,12,Three Notch'd Brewing Company,Charlottesville, VA
40 Mile IPA,0.06,50,American IPA,12,Three Notch'd Brewing Company,Charlottesville, VA
Big Chuck Barleywine,0.099,NA,American Barleywine,12,Portside Brewery,Cleveland, OH
Fresh Slice White IPA,0.055,45,American White IPA,12,Otter Creek Brewing,Middlebury, VT
Montauk Summer Ale,0.056,28,American Blonde Ale,12,Montauk Brewing Company,Montauk, NY
Driftwood Ale,0.06,49,Extra Special / Strong Bitter (ESB),12,Montauk Brewing Company,Montauk, NY
Let It Ride IPA,0.068,90,American IPA,12,Indeed Brewing Company,Minneapolis, MN
Stir Crazy Winter Ale,0.065,22,Winter Warmer,12,Indeed Brewing Company,Minneapolis, MN
Sweet Yamma Jamma Ale,0.05,10,Fruit / Vegetable Beer,12,Indeed Brewing Company,Minneapolis, MN
Shenanigans Summer Ale,0.046,27,American Pale Wheat Ale,12,Indeed Brewing Company,Minneapolis, MN
Midnight Ryder,0.065,80,American Black Ale,12,Indeed Brewing Company,Minneapolis, MN
Day Tripper Pale Ale,0.054,45,American Pale Ale (APA),12,Indeed Brewing Company,Minneapolis, MN
Lost Sailor IPA,0.055,40,English India Pale Ale (IPA),12,Berkshire Brewing Company,South Deerfield, MA
Steel Rail Extra Pale Ale,0.053,20,American Pale Ale (APA),12,Berkshire Brewing Company,South Deerfield, MA
La Ferme Urbaine Farmhouse Ale,0.078,NA,Saison / Farmhouse Ale,12,Foolproof Brewing Company,Pawtucket, RI
Backyahd IPA,0.06,NA,American IPA,12,Foolproof Brewing Company,Pawtucket, RI
Raincloud Robust Porter,0.065,NA,American Porter,12,Foolproof Brewing Company,Pawtucket, RI
Barstool American Golden Ale,0.045,NA,American Blonde Ale,12,Foolproof Brewing Company,Pawtucket, RI
Groupe G,0.076,65,Belgian IPA,16,Headlands Brewing Company,Mill Valley, CA
Pt. Bonita Rustic Lager,0.062,40,American Pale Lager,16,Headlands Brewing Company,Mill Valley, CA
Hill 88 Double IPA,0.088,77,American Double / Imperial IPA,16,Headlands Brewing Company,Mill Valley, CA
Longhop IPA,0.042,30,American IPA,16,Bolero Snort Brewery,Ridgefield Park, NJ
Lucky Buck,0.04,34,Irish Dry Stout,16,Bolero Snort Brewery,Ridgefield Park, NJ
Leatherhead Red,0.052,NA,American Amber / Red Ale,12,Thunderhead Brewing Company,Kearney, NE
Cropduster Mid-American IPA,0.065,NA,American IPA,12,Thunderhead Brewing Company,Kearney, NE
Golden Frau Honey Wheat,0.075,NA,Braggot,12,Thunderhead Brewing Company,Kearney, NE
Cornstalker Dark Wheat,NA,NA,American Dark Wheat Ale,12,Thunderhead Brewing Company,Kearney, NE
Thrasher Session India Pale Ale,0.045,44,American IPA,12,Defiance Brewing Company,Hays, KS
Gutch English Style Mild Ale,0.05,16,English Pale Mild Ale,12,Defiance Brewing Company,Hays, KS
Hop Freak,0.087,80,American Double / Imperial IPA,16,Milwaukee Brewing Company,Milwaukee, WI
Louie's Demise Amber Ale,0.051,24,American Amber / Red Ale,16,Milwaukee Brewing Company,Milwaukee, WI
Hop Happy,0.075,51,American IPA,16,Milwaukee Brewing Company,Milwaukee, WI
Booyah Farmhouse Ale,0.065,20,Saison / Farmhouse Ale,16,Milwaukee Brewing Company,Milwaukee, WI
O-Gii,0.092,NA,Witbier,16,Milwaukee Brewing Company,Milwaukee, WI
Flaming Damsel Lager (2010),0.048,18,Vienna Lager,16,Milwaukee Brewing Company,Milwaukee, WI
Louie’s Demise Immort-Ale (2010),0.051,24,American Amber / Red Ale,16,Milwaukee Brewing Company,Milwaukee, WI
Whitecap Wit,0.048,16,Witbier,16,Catawba Island Brewing,Port Clinton, OH
Seiche Scottish Ale,0.078,16,Scottish Ale,16,Catawba Island Brewing,Port Clinton, OH
Truck Stop Honey Brown Ale,0.06,NA,English Brown Ale,12,Back Forty Beer Company,Gadsden, AL
Naked Pig Pale Ale,0.06,43,American Pale Ale (APA),12,Back Forty Beer Company,Gadsden, AL
El Chingon IPA,0.076,73,American IPA,12,Four Corners Brewing Company,Dallas, TX
Block Party Robust Porter,0.057,40,American Porter,12,Four Corners Brewing Company,Dallas, TX
Local Buzz,0.052,20,American Blonde Ale,12,Four Corners Brewing Company,Dallas, TX
Saint Archer White Ale,0.05,15,Witbier,12,Saint Archer Brewery,San Diego, CA
Saint Archer IPA,0.068,66,American IPA,12,Saint Archer Brewery,San Diego, CA
Saint Archer Pale Ale,0.052,40,American Pale Ale (APA),12,Saint Archer Brewery,San Diego, CA
Saint Archer Blonde,0.048,22,Kölsch,12,Saint Archer Brewery,San Diego, CA
Rogue American Amber Ale,0.051,NA,American Amber / Red Ale,16,Rogue Ales,Newport, OR
Supergoose IPA,0.069,67,American IPA,12,Hale's Ales,Seattle, WA
Hale's Pale American Ale,0.047,NA,American Pale Ale (APA),12,Hale's Ales,Seattle, WA
IPA & a Half,0.073,87,American IPA,12,Tommyknocker Brewery,Idaho Springs, CO
Ornery Amber Lager (2003),0.055,33,Vienna Lager,12,Tommyknocker Brewery,Idaho Springs, CO
Tarnation California-Style Lager,0.053,NA,California Common / Steam Beer,12,Baxter Brewing Company,Lewiston, ME
On the Count of 3 (2015),0.07,42,Hefeweizen,16,Baxter Brewing Company,Lewiston, ME
Summer Swelter,0.047,NA,American Pale Wheat Ale,12,Baxter Brewing Company,Lewiston, ME
Phantom Punch Winter Stout,0.068,NA,Foreign / Export Stout,12,Baxter Brewing Company,Lewiston, ME
Hayride Autumn Ale,0.066,NA,Rye Beer,12,Baxter Brewing Company,Lewiston, ME
Celsius Summer Ale (2012),0.047,NA,American Pale Wheat Ale,12,Baxter Brewing Company,Lewiston, ME
Amber Road,0.055,35,American Amber / Red Ale,12,Baxter Brewing Company,Lewiston, ME
Pamola Xtra Pale Ale,0.049,28,American Pale Ale (APA),12,Baxter Brewing Company,Lewiston, ME
Stowaway IPA,0.069,69,American IPA,12,Baxter Brewing Company,Lewiston, ME
Blue Boots IPA,0.069,NA,American IPA,16,Northampton Brewery,Northamtpon, MA
American India Red Ale,0.071,83,American Strong Ale,12,Black Shirt Brewing Company,Denver, CO
American Red Porter,0.071,45,American Porter,12,Black Shirt Brewing Company,Denver, CO
American Red Saison,0.078,34,Saison / Farmhouse Ale,12,Black Shirt Brewing Company,Denver, CO
Colorado Red Ale,0.066,44,American Amber / Red Ale,12,Black Shirt Brewing Company,Denver, CO
Wachusett Light IPA,0.04,37,American IPA,12,Wachusett Brewing Company,Westminster, MA
Green Monsta IPA,0.06,55,American IPA,12,Wachusett Brewing Company,Westminster, MA
Wachusett IPA,0.056,50,American IPA,12,Wachusett Brewing Company,Westminster, MA
Strawberry White,0.047,NA,Witbier,12,Wachusett Brewing Company,Westminster, MA
Larry Imperial IPA,0.085,85,American Double / Imperial IPA,12,Wachusett Brewing Company,Westminster, MA
Wachusett Summer,0.047,NA,American Pale Wheat Ale,12,Wachusett Brewing Company,Westminster, MA
Country Pale Ale,0.051,17,English Pale Ale,12,Wachusett Brewing Company,Westminster, MA
Wachusett Light IPA (2013),0.04,37,American IPA,12,Wachusett Brewing Company,Westminster, MA
Pumpkan,0.052,20,Pumpkin Ale,12,Wachusett Brewing Company,Westminster, MA
Wachusett Blueberry Ale,0.045,10,Fruit / Vegetable Beer,12,Wachusett Brewing Company,Westminster, MA
Green Monsta IPA,0.06,55,American IPA,12,Wachusett Brewing Company,Westminster, MA
Hefe Lemon,0.049,30,Radler,12,Widmer Brothers Brewing Company,Portland, OR
Hefe Black,0.049,30,Hefeweizen,12,Widmer Brothers Brewing Company,Portland, OR
Widmer Brothers Hefeweizen,0.049,30,Hefeweizen,12,Widmer Brothers Brewing Company,Portland, OR
Provision,0.042,25,Saison / Farmhouse Ale,12,Hop Farm Brewing Company,Pittsburgh, PA
One Nut Brown,0.047,28,American Brown Ale,12,Hop Farm Brewing Company,Pittsburgh, PA
Hop Farm IPA,0.058,45,American IPA,12,Hop Farm Brewing Company,Pittsburgh, PA
Adam's Stout,0.058,40,American Stout,12,Liquid Hero Brewery,York, PA
American Hero,0.057,42,American Amber / Red Ale,12,Liquid Hero Brewery,York, PA
Schweet Ale,0.052,20,Fruit / Vegetable Beer,12,Liquid Hero Brewery,York, PA
Irregardless IPA,0.065,75,American IPA,12,Liquid Hero Brewery,York, PA
Our Legacy IPA,0.065,60,American IPA,12,Matt Brewing Company,Utica, NY
Saranac Shandy,0.042,NA,Shandy,12,Matt Brewing Company,Utica, NY
Our Legacy IPA,0.065,60,American IPA,16,Matt Brewing Company,Utica, NY
Saranac Golden Pilsener (2003),0.051,NA,German Pilsener,12,Matt Brewing Company,Utica, NY
Saranac Adirondack Light (2002),0.045,NA,Light Lager,12,Matt Brewing Company,Utica, NY
DAX Light (1998),0.045,NA,Light Lager,12,Matt Brewing Company,Utica, NY
Saranac Traditional Lager (2000),0.048,NA,American Pale Lager,12,Matt Brewing Company,Utica, NY
